user_id,user_name,record_date,total_calories,total_protein,total_carbs,total_fat,total_fiber
7,RohitSharma,2022-04-16,601.5,20.049999952316284,67.5,31.650000013411045,36.64999997615814
8,DavidWarner,2022-04-16,843.5,45,37.5,60.05000000074506,28.100000023841858
9,BabarAzam,2022-04-16,1016,122,11,55.80000001192093,6
10,QuintonDeKock,2022-04-16,541,24,84,11.399999856948853,8.699999809265137
2,ViratKohli,2022-04-17,660,61.80000001192093,21.100000023841858,35.55000000074506,3.9000000953674316
3,RickyPonting,2022-04-18,264,11.950000017881393,46.700000047683716,4.95000009983778,7.200000166893005
4,SteveSmith,2022-04-19,1016,48.74999940395355,102.5,51.75000002980232,31.75
5,JoeRoot,2022-04-20,254,12.249999582767487,48.950000047683716,3.299999915063381,14.399999976158142
1,SachinTendulkar,2022-04-20,640.5,71.55000001192093,66.5,9.649999767541885,7.200000047683716
2,ViratKohli,2022-04-21,660,61.80000001192093,21.100000023841858,35.55000000074506,3.9000000953674316
3,RickyPonting,2022-04-22,264,11.950000017881393,46.700000047683716,4.95000009983778,7.200000166893005
4,SteveSmith,2022-04-23,1016,48.74999940395355,102.5,51.75000002980232,31.75
5,JoeRoot,2022-04-24,254,12.249999582767487,48.950000047683716,3.299999915063381,14.399999976158142
1,SachinTendulkar,2022-04-25,1060,68,67,60.39999985694885,15.699999809265137
2,ViratKohli,2022-04-26,214,7.100000202655792,30.09999990463257,9.349999982863665,8.900000095367432
3,RickyPonting,2022-04-27,1726,61.89999997615814,73.89999997615814,145.40000021457672,20.80000001192093
4,SteveSmith,2022-04-28,260,12.150000035762787,56.25,1.1000000163912773,7.100000023841858
5,JoeRoot,2022-04-29,869,55.5,60,46.59999990463257,13.699999809265137
6,KaneWilliamson,2022-04-30,146.5,4.350000113248825,34.59999990463257,0.8000000156462193,7.300000190734863
7,RohitSharma,2022-04-30,1107,76,31,79.59999990463257,19.199999809265137
8,DavidWarner,2022-04-30,699.5,32.24999988079071,41.14999985694885,50.900000020861626,13.549999952316284
9,BabarAzam,2022-04-30,254,17.50000011920929,39.8500000834465,4.500000089406967,4.449999958276749
10,QuintonDeKock,2022-04-30,1050,48.30000001192093,81,62.999999955296516,18.09999990463257
11,FafDuPlessis,2022-04-29,396,18.949999809265137,68.09999990463257,6.399999886751175,13.099999785423279
12,RossTaylor,2022-04-29,385,8.700000047683716,62,15.900000013411045,15
13,JosButtler,2022-04-29,879,39.549999952316284,20.65000009536743,76.55000001192093,7.199999809265137
14,EoinMorgan,2022-04-29,1045,85,25.40000009536743,68.90000009536743,12.199999809265137
15,JonnyBairstow,2022-04-29,515,14.699999988079071,103,5.899999871850014,12.799999952316284
16,ShikharDhawan,2022-04-30,248,16.300000309944153,41.700000166893005,3.7999999821186066,13.400000050663948
17,AaronFinch,2022-04-30,473,44.10000002384186,35.90000009536743,19.299999922513962,9.599999904632568
18,MartinGuptill,2022-04-30,1379,68.44999998807907,43.950000047683716,111.10000000149012,18.799999833106995
19,ShimronHetmyer,2022-04-30,382,16.49999988079071,71,5.3999999314546585,12.299999833106995
20,JasonRoy,2022-04-30,385,9.70000010728836,85.59999990463257,2.7999999821186066,10.700000047683716
1,SachinTendulkar,2022-04-01,687,66,65,18.399999856948853,8.300000190734863
2,ViratKohli,2022-04-02,1042,43.10000002384186,85.10000002384186,63.8999999165535,19.999999523162842
3,RickyPonting,2022-04-03,236,16.90000021457672,39.5,2.299999989569187,6.900000095367432
4,SteveSmith,2022-04-04,379,16.899999916553497,38.40000009536743,20.600000217556953,11.300000071525574
5,JoeRoot,2022-04-05,1314,41.30000001192093,48.89999997615814,116.40000003576279,15.2999999076128
1,SachinTendulkar,2022-04-06,687,66,65,18.399999856948853,8.300000190734863
2,ViratKohli,2022-04-07,1042,43.10000002384186,85.10000002384186,63.8999999165535,19.999999523162842
3,RickyPonting,2022-04-08,236,16.90000021457672,39.5,2.299999989569187,6.900000095367432
4,SteveSmith,2022-04-09,379,16.899999916553497,38.40000009536743,20.600000217556953,11.300000071525574
5,JoeRoot,2022-04-10,1314,41.30000001192093,48.89999997615814,116.40000003576279,15.2999999076128
1,SachinTendulkar,2022-04-11,365,26.799999594688416,54.89999997615814,5.90000019967556,19.69999986886978
2,ViratKohli,2022-04-12,351,17.199999690055847,68.90000009536743,3.499999910593033,12.599999904632568
3,RickyPonting,2022-04-13,94,6.099999964237213,18.99999976158142,0.8000000268220901,4.200000047683716
4,SteveSmith,2022-04-14,146,9.000000238418579,30.500000476837158,1.7999999672174454,14.699999809265137
5,JoeRoot,2022-04-15,667,22.59999990463257,80,32.200000025331974,37.89999997615814
1,SachinTendulkar,2023-05-03,1500,120,300,15,72.00000286102295
4,SteveSmith,2022-05-02,16500,3100,0,359.99999046325684,0
